,match_id,gameid,game,blue_team,red_team,result,BRION,GEN,KDF,DK,HLE,KT,DRX,LSB,T1,NS
426,427,ESPORTSTMNT03_3199067,game_1,KT,T1,KT,0.3,0.74,0.34,0.63,0.57,0.71,0.3,0.43,0.64,0.25
427,428,ESPORTSTMNT03_3199084,game_2,T1,KT,KT,0.3,0.74,0.34,0.63,0.57,0.71,0.3,0.43,0.63,0.25
428,429,ESPORTSTMNT03_3200068,game_1,DRX,HLE,HLE,0.3,0.74,0.34,0.63,0.57,0.71,0.29,0.43,0.63,0.25
429,430,ESPORTSTMNT03_3199115,game_2,DRX,HLE,HLE,0.3,0.74,0.34,0.63,0.57,0.71,0.29,0.43,0.63,0.25
430,431,ESPORTSTMNT03_3200187,game_1,NS,BRION,BRION,0.31,0.74,0.34,0.63,0.57,0.71,0.29,0.43,0.63,0.24
431,432,ESPORTSTMNT03_3199206,game_2,NS,BRION,NS,0.31,0.74,0.34,0.63,0.57,0.71,0.29,0.43,0.63,0.25
432,433,ESPORTSTMNT03_3199211,game_3,BRION,NS,NS,0.31,0.74,0.34,0.63,0.57,0.71,0.29,0.43,0.63,0.26
433,434,ESPORTSTMNT03_3198239,game_1,GEN,DK,GEN,0.31,0.74,0.34,0.62,0.57,0.71,0.29,0.43,0.63,0.26
434,435,ESPORTSTMNT03_3199251,game_2,DK,GEN,GEN,0.31,0.74,0.34,0.61,0.57,0.71,0.29,0.43,0.63,0.26
435,436,ESPORTSTMNT01_3404937,game_1,T1,KDF,T1,0.31,0.74,0.34,0.61,0.57,0.71,0.29,0.43,0.64,0.26
436,437,ESPORTSTMNT01_3404962,game_2,T1,KDF,T1,0.31,0.74,0.33,0.61,0.57,0.71,0.29,0.43,0.64,0.26
437,438,ESPORTSTMNT01_3405926,game_1,NS,DK,DK,0.31,0.74,0.33,0.62,0.57,0.71,0.29,0.43,0.64,0.26
438,439,ESPORTSTMNT01_3405949,game_2,DK,NS,DK,0.31,0.74,0.33,0.62,0.57,0.71,0.29,0.43,0.64,0.26
439,440,ESPORTSTMNT01_3408162,game_1,DRX,BRION,DRX,0.3,0.74,0.33,0.62,0.57,0.71,0.3,0.43,0.64,0.26
440,441,ESPORTSTMNT01_3408177,game_2,BRION,DRX,DRX,0.3,0.74,0.33,0.62,0.57,0.71,0.31,0.43,0.64,0.26
441,442,ESPORTSTMNT01_3407230,game_1,HLE,GEN,GEN,0.3,0.75,0.33,0.62,0.57,0.71,0.31,0.43,0.64,0.26
442,443,ESPORTSTMNT01_3408206,game_2,HLE,GEN,GEN,0.3,0.75,0.33,0.62,0.56,0.71,0.31,0.43,0.64,0.26
443,444,ESPORTSTMNT01_3407478,game_1,T1,LSB,T1,0.3,0.75,0.33,0.62,0.56,0.71,0.31,0.43,0.65,0.26
444,445,ESPORTSTMNT01_3408461,game_2,LSB,T1,T1,0.3,0.75,0.33,0.62,0.56,0.71,0.31,0.42,0.65,0.26
445,446,ESPORTSTMNT01_3407530,game_3,T1,LSB,T1,0.3,0.75,0.33,0.62,0.56,0.71,0.31,0.42,0.65,0.26
446,447,ESPORTSTMNT01_3409439,game_1,NS,KT,NS,0.3,0.75,0.33,0.62,0.56,0.7,0.31,0.42,0.65,0.27
447,448,ESPORTSTMNT01_3408510,game_2,KT,NS,KT,0.3,0.75,0.33,0.62,0.56,0.7,0.31,0.42,0.65,0.26
448,449,ESPORTSTMNT01_3408529,game_3,NS,KT,KT,0.3,0.75,0.33,0.62,0.56,0.71,0.31,0.42,0.65,0.26
